author,id
alexander riedel,1
andreas krummenacher,1
andreas krummenacher*,1
burkhard jürgens,1
birgit wilke,1
bernard litzler / cath.ch,1
bernard litzler,1
bernard hallet/cath.ch,1
"bernard hallet, cath.ch",1
benno bühlmann,1
"barbara ludwig
und georges scherrer",1
bal/cath.ch,1
bal/aktualisiert 28.2. sys,1
"bal, ergänzt 23.8.20",1
"bal, akt. 25.9.19, bal",1
aufzeichnung: rr,1
arnold landtwing*,1
andreas steingruber,1
christoph paul hartmann,1
christoph scholz,1
"kna/akt. 8.9.19, bal",1
italien,1
"jaques
berset",1
jan bergauer *,1
jahrgang 1993,1
jacques berset/cath.ch,1
"jacques berset, cath.ch",1
jacques berset*,1
*1953,1
irene widmer,1
heimito nollé,1
ingo-michael feth,1
ines schaberger*,1
in italienischer sprache,1
illustrator,1
icmc,1
hrsg.,1
hildegard willer,1
"jean-claude
gérez",1
johann hinrich claussen*,1
johannes schönwälder,1
josef imbach*,1
"kna, ergänzt am 24.2.20",1
keytone-sda/rp,1
keystone-sda/sys,1
katholisch.de/fxn,1
katholisch.de/cbr,1
katholisch.de /rom,1
katholisch.de,1
kath.ch/sda,1
kath.ch/cic,1
karl johannes rechsteiner*,1
kari kälin,1
karfreitage,1
kap/cath.ch,1
k,1
jürg meienberg,1
hg.,1
heide-marie göbbel,1
cic / kna,1
dominik thali,1
"estelle pastoris, protestinfo/cath.ch",1
erwin koller,1
ernst dohlus,1
ergänzt am 4.6.19,1
ergänzt 12.8.,1
eme,1
eliane leiser*,1
deutsch,1
hans-joachim neubauer,1
davide pesenti,1
cristina vonzun,1
cic; ergänzt,1
cic/rra,1
cic/rp,1
cic/keystone-sda,1
cic/ergänzt,1
eugen koller,1
"eva meienberg, natalie fritz",1
eva-maria eden,1
evelyne graf,1
günther boss**,1
gs/sys/uab,1
gs/sys,1
gs/sda,1
gs/kap,1
"gs/aktualisiert 20.5.19, ms",1
grégory roth/cath.ch,1
grégory roth,1
geändert 18.8.sys,1
georges scherrer/sda,1
georges scherrer/kna,1
fortzuschreiben,1
felix neumann,1
federico piana,1
federico anzini,1
"«liebe brüder und schwestern,",1
