id;tag;tag2;date;author;_date;chur;kontra
churer-domkapitel-wie-inderbitzin-den-kanton-schwyz-kritisierte;Schweiz;Schweiz;02.12.2020 16:12;;02.12.2020 00:00;WAHR;0
grichtings-verhalten-der-bischof-darf-das-so-nicht-stehen-lassen;Schweiz;Schweiz;02.12.2020 11:16;Raphael Rauch;02.12.2020 00:00;WAHR;1
churer-domkapitel-was-der-kanton-schwyz-werner-inderbitzin-antwortete;Schweiz;Schweiz;03.12.2020 16:07;;03.12.2020 00:00;WAHR;0
grichtings-verhalten-erinnert-an-trump;Zitat;Zitat;03.12.2020 11:42;;03.12.2020 00:00;WAHR;1
warum-der-bischof-vom-volk-gewaehlt-werden-sollte;Zitat;Zitat;03.12.2020 07:07;;03.12.2020 00:00;WAHR;1
das-weltbild-des-martin-grichting;Zitat;Zitat;04.12.2020 05:22;;04.12.2020 00:00;WAHR;1
der-heilige-nikolaus-ein-bischof-aus-dem-volk-fuer-das-volk;Theologie konkret;Theologie konkret;06.12.2020 05:00;Monika Schmid*;06.12.2020 00:00;WAHR;1
roger-koeppel-martin-grichting-hat-rueckgrat;Zitat;Zitat;09.12.2020 06:04;;09.12.2020 00:00;WAHR;-1
bonnemain-waere-nicht-die-schlechteste-wahl;Zitat;Zitat;15.12.2020 06:54;;15.12.2020 00:00;WAHR;0
warum-abt-urban-federer-ein-guter-bischof-von-chur-waere;Zitat;Zitat;18.12.2020 07:49;;18.12.2020 00:00;WAHR;0
medien-peter-buercher-beim-papst-wegen-geplatzter-bischofswahl;;;24.12.2020 09:30;Raphael Rauch;24.12.2020 00:00;WAHR;0
bischof-felix-gmuer-fordert-priesterweihe-fuer-frauen-und-kritisiert-chur;Schweiz;Schweiz;28.12.2020 10:32;Raphael Rauch;28.12.2020 00:00;WAHR;1
